"","intervention_type","environmentType","intervention_intensity","mean_prejudice","sd_prejudice","mean_coop_other","mean_def_other","n_obs"
"159","training",2,4,6.71882959927544,1.5854559065594,57.5033112582781,311.779249448124,2265
"160","training",2,5,5.35536153503488,1.68892586376497,47.7611479028698,246.437969094923,2265
"161","training",2,6,4.48717237402625,1.68023279056351,57.9002207505519,312.867991169978,2265
"162","training",2,7,3.86063116109142,1.75986895509546,63.7200883002208,297.154966887417,2265
"163","training",2,8,3.38911680013372,1.80262677090003,65.3907284768212,309.994260485651,2265
"164","training",2,9,3.02580725593374,1.81332663005679,62.2569536423841,338.897130242826,2265
"165","training",2,10,2.72442515621122,1.82127031887963,56.6203090507726,281.760264900662,2265
"166","youthSocialization",0,0,98.6492935173569,7.18666709074737,3.39381898454746,270.383664459161,2265
"167","youthSocialization",0,1,86.5827229626217,6.35148710287229,2.40176600441501,250.04944812362,2265
"168","youthSocialization",0,2,83.4055259122267,6.28821553899737,2.81456953642384,270.304635761589,2265
"169","youthSocialization",0,3,81.6573126310853,6.45571560769642,2.85033112582781,265.577483443709,2265
"170","youthSocialization",0,4,82.2493202516595,6.97292046285804,3.28565121412804,265.61766004415,2265
"171","youthSocialization",0,5,81.0764185432784,7.25552053488569,2.66136865342163,284.604415011038,2265
"172","youthSocialization",0,6,79.5773039670631,7.34637055141179,2.85739514348786,266.206181015453,2265
"173","youthSocialization",0,7,77.2190325787616,7.20470594386166,3.33289183222958,286.39646799117,2265
"174","youthSocialization",0,8,70.1805204502759,6.16534308605065,2.89492273730684,271.463134657837,2265
"175","youthSocialization",0,9,63.5933391632913,5.1295652618526,2.98940397350993,284.803973509934,2265
"176","youthSocialization",0,10,56.0185206311034,3.96412106323375,2.80883002207506,261.050772626932,2265
"177","youthSocialization",1,0,94.9069908028119,16.2859923861574,192.859161147903,588.248565121413,2265
"178","youthSocialization",1,1,68.4777887281642,13.9450401574926,197.190728476821,577.5293598234,2265
"179","youthSocialization",1,2,36.1081185320545,4.71979811845474,195.353642384106,591.423399558499,2265
"180","youthSocialization",1,3,24.790194668899,2.32877354735952,197.925386313466,584.892715231788,2265
"181","youthSocialization",1,4,18.9083008524599,1.337031352599,193.190286975717,577.079028697572,2265
"182","youthSocialization",1,5,14.7677344409563,0.940127448895744,194.777041942605,576.64238410596,2265
"183","youthSocialization",1,6,12.288003569139,0.54946612061831,192.660927152318,592.026931567329,2265
"184","youthSocialization",1,7,10.8092679272091,0.623115606417412,200.119205298013,580.437086092715,2265
"185","youthSocialization",1,8,9.34714513489416,0.535230114674919,203.409271523179,588.203973509934,2265
"186","youthSocialization",1,9,8.53884202950111,0.562514750495665,201.456953642384,583.165562913907,2265
"187","youthSocialization",1,10,7.63373975189273,0.516653980761797,200.57880794702,578.166004415011,2265
"188","youthSocialization",2,0,96.9665717212559,11.1157682189818,62.2657836644592,317.84238410596,2265
"189","youthSocialization",2,1,79.5708564818087,10.1396794644147,50.558940397351,250.004415011038,2265
"190","youthSocialization",2,2,76.589340354392,10.703855425308,71.1894039735099,358.398233995585,2265
"191","youthSocialization",2,3,62.5081165280075,7.6997671725045,47.2688741721854,257.257395143488,2265
"192","youthSocialization",2,4,47.9047593508503,4.59986518550955,65.7514348785872,367.015011037528,2265
"193","youthSocialization",2,5,37.6754047231527,3.17852176381245,60.3677704194261,317.875496688742,2265
"194","youthSocialization",2,6,31.7900665613261,2.22746724415494,52.9015452538631,284.425607064018,2265
"195","youthSocialization",2,7,26.9730697079926,1.60672720431945,49.558940397351,256.249889624724,2265
"196","youthSocialization",2,8,23.8614320851269,1.39001926613149,58.4653421633554,316.914790286976,2265
"197","youthSocialization",2,9,21.6458039637258,0.952640050809319,49.7399558498896,251.556291390728,2265
"198","youthSocialization",2,10,19.4715025882934,1.14237855191358,58.2300220750552,281.976600441501,2265
